ivr_id,module_sequece,module_name,module_duration,module_result
1670746342.333751,1,WELCOME,1,ABSORPTION
1670795061.33498,1,WELCOME,1,ABSORPTION
1670752202.3338871,1,WELCOME,1,ABSORPTION
1670762864.29612,1,WELCOME,1,ABSORPTION
1670777470.2964261,1,WELCOME,1,ABSORPTION
1670759660.296001,1,WELCOME,1,ABSORPTION
1670775638.2678039,1,WELCOME,1,ABSORPTION
1670787126.2680531,1,WELCOME,1,ABSORPTION
1670790518.2681141,1,WELCOME,1,ABSORPTION
1670771926.3064489,1,WELCOME,1,ABSORPTION
1670761925.2674479,1,WELCOME,1,ABSORPTION
1670778166.296442,1,WELCOME,1,ABSORPTION
1670787343.3067591,1,WELCOME,1,ABSORPTION
1670766749.267575,1,WELCOME,1,ABSORPTION
1671050347.12,1,WELCOME,1,ABSORPTION
1671029669.3263061,1,WELCOME,1,ABSORPTION
1671007239.6241,1,WELCOME,1,ABSORPTION
1671016754.314409,1,WELCOME,1,ABSORPTION
1671030857.326437,1,WELCOME,1,ABSORPTION
1671044264.3179541,1,WELCOME,1,ABSORPTION
1671051890.357513,1,WELCOME,1,ABSORPTION
1671035987.10672,1,WELCOME,1,ABSORPTION
1671029897.3553779,1,WELCOME,1,ABSORPTION
1671043934.11686,1,WELCOME,1,ABSORPTION
1671031371.10027,1,WELCOME,1,ABSORPTION
1671025991.9555,1,WELCOME,1,ABSORPTION
1671034035.3267779,1,WELCOME,1,ABSORPTION
1671030103.9906,1,WELCOME,1,ABSORPTION
1671383583.341548,1,WELCOME,1,ABSORPTION
1671386494.3415971,1,WELCOME,1,ABSORPTION
1671351107.3305371,1,WELCOME,1,ABSORPTION
1671351250.340893,1,WELCOME,1,ABSORPTION
1670945938.3198869,1,WELCOME,1,ABSORPTION
1670959806.321902,1,WELCOME,1,ABSORPTION
1670923776.344609,1,WELCOME,1,ABSORPTION
1670930891.808,1,WELCOME,1,ABSORPTION
1670929873.3173511,1,WELCOME,1,ABSORPTION
1670924739.2775569,1,WELCOME,1,ABSORPTION
1670939824.319185,1,WELCOME,1,ABSORPTION
1670929277.3458591,1,WELCOME,1,ABSORPTION
1670952542.31101,1,WELCOME,1,ABSORPTION
1670921460.3441031,1,WELCOME,1,ABSORPTION
1670941566.3193851,1,WELCOME,1,ABSORPTION
1670951739.310843,1,WELCOME,1,ABSORPTION
1670921196.3440471,1,WELCOME,1,ABSORPTION
1670958522.5252,1,WELCOME,1,ABSORPTION
1670938943.3088961,1,WELCOME,1,ABSORPTION
1670929518.427,1,WELCOME,1,ABSORPTION
1671126746.363101,1,WELCOME,1,ABSORPTION
1671129353.334058,1,WELCOME,1,ABSORPTION
1671092562.3581679,1,WELCOME,1,ABSORPTION
1671131905.17903,1,WELCOME,1,ABSORPTION
1671109753.3216691,1,WELCOME,1,ABSORPTION
1671104938.3604319,1,WELCOME,1,ABSORPTION
1671109183.3319321,1,WELCOME,1,ABSORPTION
1671111454.361475,1,WELCOME,1,ABSORPTION
1671099581.31991,1,WELCOME,1,ABSORPTION
1671105892.15054,1,WELCOME,1,ABSORPTION
1671107935.3317561,1,WELCOME,1,ABSORPTION
1671120716.362335,1,WELCOME,1,ABSORPTION
1671103950.320715,1,WELCOME,1,ABSORPTION
1671134441.32383,1,WELCOME,1,ABSORPTION
1671107987.15422,1,WELCOME,1,ABSORPTION
1671130400.36339,1,WELCOME,1,ABSORPTION
1671130527.3236649,1,WELCOME,1,ABSORPTION
1671125674.362972,1,WELCOME,1,ABSORPTION
1671467625.3768311,1,WELCOME,1,ABSORPTION
1671449677.3339241,1,WELCOME,1,ABSORPTION
1671442501.3732309,1,WELCOME,1,ABSORPTION
1671456327.29804,1,WELCOME,1,ABSORPTION
1671440328.3728111,1,WELCOME,1,ABSORPTION
1671441049.2693,1,WELCOME,1,ABSORPTION
1671478097.34743,1,WELCOME,1,ABSORPTION
1671464287.34615,1,WELCOME,1,ABSORPTION
1671472263.377403,1,WELCOME,1,ABSORPTION
1671451800.375088,1,WELCOME,1,ABSORPTION
1671443945.27493,1,WELCOME,1,ABSORPTION
1671451464.375031,1,WELCOME,1,ABSORPTION
1671456319.34543,1,WELCOME,1,ABSORPTION
1671443703.3327351,1,WELCOME,1,ABSORPTION
1671450277.37485,1,WELCOME,1,ABSORPTION
1671457074.3757739,1,WELCOME,1,ABSORPTION
1671462083.30339,1,WELCOME,1,ABSORPTION
1671471559.31438,1,WELCOME,1,ABSORPTION
1671441823.373096,1,WELCOME,1,ABSORPTION
1671479066.347465,1,WELCOME,1,ABSORPTION
1671538723.3454,1,WELCOME,1,ABSORPTION
1671534914.3389311,1,WELCOME,1,ABSORPTION
1671552529.3581,1,WELCOME,1,ABSORPTION
1671535877.380199,1,WELCOME,1,ABSORPTION
1671568071.36903,1,WELCOME,1,ABSORPTION
1671557664.382406,1,WELCOME,1,ABSORPTION
1671552723.3512809,1,WELCOME,1,ABSORPTION
1671523716.378381,1,WELCOME,1,ABSORPTION
1671544951.3812511,1,WELCOME,1,ABSORPTION
1671540852.350311,1,WELCOME,1,ABSORPTION
1671530633.3331,1,WELCOME,1,ABSORPTION
1671537485.34354,1,WELCOME,1,ABSORPTION
1671573283.352453,1,WELCOME,1,ABSORPTION
1671537418.3804691,1,WELCOME,1,ABSORPTION
1671568882.3523979,1,WELCOME,1,ABSORPTION
1671551790.3406351,1,WELCOME,1,ABSORPTION
1671575225.3830559,1,WELCOME,1,ABSORPTION
1670849502.3010881,1,WELCOME,1,ABSORPTION
1670863143.3030419,1,WELCOME,1,ABSORPTION
1670832434.297061,1,WELCOME,1,ABSORPTION
1670803487.2681921,1,WELCOME,1,ABSORPTION
1670854206.3118329,1,WELCOME,1,ABSORPTION
1670834544.33576,1,WELCOME,1,ABSORPTION
1670852627.339972,1,WELCOME,1,ABSORPTION
1670875956.3147039,1,WELCOME,1,ABSORPTION
1670828670.335151,1,WELCOME,1,ABSORPTION
1670853688.3117759,1,WELCOME,1,ABSORPTION
1670864082.313364,1,WELCOME,1,ABSORPTION
1670836116.3361311,1,WELCOME,1,ABSORPTION
1670850442.272779,1,WELCOME,1,ABSORPTION
1670860495.274,1,WELCOME,1,ABSORPTION
1670874715.3146551,1,WELCOME,1,ABSORPTION
1670846409.2718711,1,WELCOME,1,ABSORPTION
1670832130.2970181,1,WELCOME,1,ABSORPTION
1670857693.31228,1,WELCOME,1,ABSORPTION
1670866335.3138061,1,WELCOME,1,ABSORPTION
1670854387.3118539,1,WELCOME,1,ABSORPTION
1670856765.3020279,1,WELCOME,1,ABSORPTION
1670864574.3417661,1,WELCOME,1,ABSORPTION
1670833744.335603,1,WELCOME,1,ABSORPTION
1670830535.33524,1,WELCOME,1,ABSORPTION
1670851547.2729239,1,WELCOME,1,ABSORPTION
1670848070.3392091,1,WELCOME,1,ABSORPTION
1670855375.3119881,1,WELCOME,1,ABSORPTION
1670864502.2747021,1,WELCOME,1,ABSORPTION
1670835515.3077221,1,WELCOME,1,ABSORPTION
1670867722.3423309,1,WELCOME,1,ABSORPTION
1670832962.3072381,1,WELCOME,1,ABSORPTION
1670862483.2743411,1,WELCOME,1,ABSORPTION
1670853060.3400171,1,WELCOME,1,ABSORPTION
1670854445.340204,1,WELCOME,1,ABSORPTION
1670846588.310544,1,WELCOME,1,ABSORPTION
1670864154.2746561,1,WELCOME,1,ABSORPTION
1671191008.3262351,1,WELCOME,1,ABSORPTION
1671178355.18488,1,WELCOME,1,ABSORPTION
1671210821.3679881,1,WELCOME,1,ABSORPTION
1671178821.3642089,1,WELCOME,1,ABSORPTION
1671207905.22072,1,WELCOME,1,ABSORPTION
1671179951.364336,1,WELCOME,1,ABSORPTION
1671214319.22597,1,WELCOME,1,ABSORPTION
1671179974.36434,1,WELCOME,1,ABSORPTION
1671183089.19088,1,WELCOME,1,ABSORPTION
1671179812.18661,1,WELCOME,1,ABSORPTION
1671180482.3644061,1,WELCOME,1,ABSORPTION
1671181481.335057,1,WELCOME,1,ABSORPTION
1671201134.32737,1,WELCOME,1,ABSORPTION
1671199025.3375649,1,WELCOME,1,ABSORPTION
1671197444.36699,1,WELCOME,1,ABSORPTION
1671188586.3657761,1,WELCOME,1,ABSORPTION
1671177080.324152,1,WELCOME,1,ABSORPTION
1671185087.3356271,1,WELCOME,1,ABSORPTION
1671180210.3348949,1,WELCOME,1,ABSORPTION
1671183478.19171,1,WELCOME,1,ABSORPTION
1671300401.24569,1,WELCOME,1,ABSORPTION
1671303428.3704529,1,WELCOME,1,ABSORPTION
1671262023.339325,1,WELCOME,1,ABSORPTION
1671286834.329809,1,WELCOME,1,ABSORPTION
1671266888.23399,1,WELCOME,1,ABSORPTION
1671289856.329879,1,WELCOME,1,ABSORPTION
1671298862.3702879,1,WELCOME,1,ABSORPTION
1671269913.33953,1,WELCOME,1,ABSORPTION
1671263637.3690109,1,WELCOME,1,ABSORPTION
1670784870.3067219,1,WELCOME,2,ABSORPTION
1670752723.2958009,1,WELCOME,2,ABSORPTION
1670784537.296603,1,WELCOME,2,ABSORPTION
1671012137.3236711,1,WELCOME,2,ABSORPTION
1671009521.6695,1,WELCOME,2,ABSORPTION
1671020819.3151989,1,WELCOME,2,ABSORPTION
1671047267.3573749,1,WELCOME,2,ABSORPTION
1671016692.3246,1,WELCOME,2,ABSORPTION
1671039591.3567059,1,WELCOME,2,ABSORPTION
1671040914.11385,1,WELCOME,2,ABSORPTION
1671029811.3161831,1,WELCOME,2,ABSORPTION
1671038548.3173039,1,WELCOME,2,ABSORPTION
1671028805.3552771,1,WELCOME,2,ABSORPTION
1671015204.7821,1,WELCOME,2,ABSORPTION
1671396978.3718541,1,WELCOME,2,ABSORPTION
1670927045.3167191,1,WELCOME,2,ABSORPTION
1670956719.3115921,1,WELCOME,2,ABSORPTION
1670947005.3437,1,WELCOME,2,ABSORPTION
1670930366.3174551,1,WELCOME,2,ABSORPTION
1670943288.309406,1,WELCOME,2,ABSORPTION
1670923152.344449,1,WELCOME,2,ABSORPTION
1670975984.5585,1,WELCOME,2,ABSORPTION
